control_block,field,required,buyer_entry,evidence_status,owner,next_action
Company identity,Legal or public supplier identity,yes,,, ,
Company identity,Named project contact and communication route,yes,,, ,
Production route,Factory or production location for this build,yes,,, ,
Product scope,Structure and finished dimensions,yes,,, ,
Product scope,Material or board build,yes,,, ,
Product scope,Insert closure printing and finishing,yes,,, ,
Sample control,Sample type and representative production route,yes,,, ,
Sample control,Sample revision and approval record,yes,,, ,
Quality evidence,Inspection checkpoints and actual record fields,yes,,, ,
Quality evidence,Defect handling correction and reinspection,yes,,, ,
Quality evidence,Project-specific certificates or reports where applicable,no,,, ,
Packing,Unit packing master carton data and marks,yes,,, ,
Delivery,Delivery basis destination handoff and responsibility,yes,,, ,
Commercial,Quantity tiers one-time charges and exclusions,yes,,, ,
Decision,Next gate and approval owner,yes,,, ,
